frequency	e'	e''
1000000000.0000	  61.0104	  15.0332
1190000000.0000	  60.6345	  14.1470
1380000000.0000	  60.3018	  12.8455
1570000000.0000	  59.5057	  12.6291
1760000000.0000	  59.4717	  11.4637
1950000000.0000	  59.6049	  11.6653
2140000000.0000	  59.3025	  11.6614
2330000000.0000	  58.7005	  11.3746
2520000000.0000	  58.5891	  11.7551
2710000000.0000	  58.3204	  11.2257
2900000000.0000	  58.2819	  11.4572
3090000000.0000	  58.3650	  11.4400
3280000000.0000	  57.5378	  11.8090
3470000000.0000	  57.8074	  11.8239
3660000000.0000	  57.3698	  12.0022
3850000000.0000	  57.3004	  12.2962
4040000000.0000	  57.1926	  12.0796
4230000000.0000	  56.7626	  12.9230
4420000000.0000	  56.7309	  12.5360
4610000000.0000	  56.3949	  13.1213
4800000000.0000	  56.4879	  13.1544
4990000000.0000	  55.9051	  13.3761
5180000000.0000	  56.0495	  13.8158
5370000000.0000	  55.6955	  13.7028
5560000000.0000	  55.4858	  14.5803
5750000000.0000	  55.5251	  14.0534
5940000000.0000	  54.9500	  14.9210
6130000000.0000	  55.3816	  14.7701
6320000000.0000	  54.4430	  15.0339
6510000000.0000	  54.7127	  15.5758
6700000000.0000	  54.3169	  15.1626
6890000000.0000	  54.1198	  16.3141
7080000000.0000	  53.9514	  15.6518
7270000000.0000	  53.5272	  16.8793
7460000000.0000	  53.8536	  16.3314
7650000000.0000	  52.9377	  16.9464
7840000000.0000	  53.5087	  17.3080
8030000000.0000	  52.5213	  17.0519
8220000000.0000	  52.6684	  17.9499
8410000000.0000	  52.4372	  17.3054
8600000000.0000	  51.8839	  18.6089
8790000000.0000	  52.3254	  17.8714
8980000000.0000	  51.2903	  18.8041
9170000000.0000	  52.1147	  18.8741
9360000000.0000	  50.8680	  18.5957
9550000000.0000	  51.2332	  19.6029
9740000000.0000	  50.7277	  18.8003
9930000000.0000	  50.2565	  20.0771
10120000000.0000	  50.5858	  19.4897
10310000000.0000	  49.6285	  20.1882
10500000000.0000	  50.5179	  20.2928
10690000000.0000	  49.3525	  20.4887
10880000000.0000	  49.9487	  21.0977
11070000000.0000	  49.0374	  20.4011
11260000000.0000	  49.1898	  22.2020
11450000000.0000	  48.9860	  20.3251
11640000000.0000	  47.5503	  22.9741
11830000000.0000	  50.0293	  23.0371
12020000000.0000	  47.1229	  21.2527
12210000000.0000	  45.3032	  26.8872
12400000000.0000	  42.4294	  31.4591
12590000000.0000	  51.1962	  21.9419
12780000000.0000	  42.2757	  12.0591
12970000000.0000	  42.5058	  12.6393
13160000000.0000	  44.7025	  25.3032
13350000000.0000	  51.0611	  17.3025
13540000000.0000	  48.2660	  22.1696
13730000000.0000	  45.1936	  22.9201
13920000000.0000	  48.6994	  24.4666
14110000000.0000	  46.2557	  22.2982
14300000000.0000	  44.3851	  24.2884
14490000000.0000	  46.3383	  23.6210
14680000000.0000	  44.0380	  24.0267
14870000000.0000	  44.9237	  25.1574
15060000000.0000	  44.6178	  23.7729
15250000000.0000	  43.9182	  25.1997
15440000000.0000	  43.9674	  23.7304
15630000000.0000	  43.4514	  24.5344
15820000000.0000	  43.5060	  24.2779
16010000000.0000	  42.3317	  24.6203
16200000000.0000	  43.1866	  24.8571
16390000000.0000	  41.6346	  25.0863
16580000000.0000	  42.5142	  26.0145
16770000000.0000	  42.1552	  24.7918
16960000000.0000	  41.7318	  25.4814
17150000000.0000	  41.6680	  24.7821
17340000000.0000	  41.0267	  25.3976
17530000000.0000	  40.6331	  25.3540
17720000000.0000	  40.5365	  25.7401
17910000000.0000	  40.5647	  25.6015
18100000000.0000	  39.7724	  26.0686
18290000000.0000	  40.5871	  25.9925
18480000000.0000	  39.3171	  26.0884
18670000000.0000	  39.8926	  26.1149
18860000000.0000	  38.9733	  25.3066
19050000000.0000	  39.0173	  26.3923
19240000000.0000	  38.4063	  25.6328
19430000000.0000	  38.3632	  27.9324
19620000000.0000	  38.4084	  25.5841
19810000000.0000	  37.1075	  27.9879
20000000000.0000	  38.9144	  26.2867
